NAME,ARTIST,AGE,DATE
Grant Hart,Hüsker Dü,56,9/14/2017
Mark Selby,Mark Selby,56,9/18/2017
Ammon Tharp,Bill Deal and the Rhondels,75,9/22/2017
Charles Bradley,Charles Bradley,68,9/23/2017
CeDell Davis,CeDell Davis,91,9/27/2017
Tom Petty,Tom Petty and the Heartbreakers,66,10/2/2017
Tom Petty,Tom Petty,66,10/2/2017
Jimmy Beaumont,The Skyliners,76,10/7/2017
Grady Tate,Grady Tate,85,10/8/2017
Iain Shedden,The Saints,60,10/16/2017
Gord Downie,The Tragically Hip,53,10/17/2017
Martin Eric Ain,Celtic Frost,50,10/21/2017
Scott Putesky,Marilyn Manson,49,10/22/2017
Al Hurricane,Al Hurricane,81,10/22/2017
George Young,The Easybeats,70,10/22/2017
Fats Domino,Fats Domino,89,10/24/2017
Dick Noel,Dick Noel,90,10/27/2017
Billy Mize,Billy Mize,88,10/28/2017
Katie Lee,Katie Lee,98,11/1/2017
Robert Knight,Robert Knight,72,11/5/2017
Pentti Glan,Alice Cooper,71,11/7/2017
Chuck Mosley,Faith No More,57,11/9/2017
Bonnie Flower,Wendy and Bonnie,63,11/15/2017
Lil Peep,Lil Peep,21,11/17/2017
Malcolm Young,AC/DC,64,11/18/2017
"Warren ""Pete"" Moore",The Miracles,78,11/19/2017
Della Reese,Della Reese,86,11/19/2017
David Cassidy,The Partridge Family,67,11/21/2017
Wayne Cochran,Wayne Cochran,78,11/21/2017
Tommy Keene,Tommy Keene,59,11/22/2017
Mitch Margo,The Tokens,70,11/24/2017
Robert Popwell,The Young Rascals,66,11/27/2017
Robert Walker,Robert Walker,80,11/29/2017
Zé Pedro,Xutos & Pontapés,61,11/30/2017
Norihiko Hashida,Norihiko Hashida,72,12/2/2017
Johnny Hallyday,Johnny Hallyday,74,12/6/2017
Sir Christus,Negative,39,12/7/2017
Sunny Murray,Sunny Murray,81,12/8/2017
Leon Rhodes,Ernest Tubb and His Texas Troubadours,85,12/9/2017
Keith Chegwin,Brown Sauce,60,12/11/2017
Manno Charlemagne,Manno Charlemagne,69,12/10/2017
Pat DiNizio,The Smithereens,62,12/12/2017
Dave Christenson,Stabilizers,54,12/15/2017
Warrel Dane,Sanctuary,56,12/13/2017
Michael Prophet,Michael Prophet,60,12/16/2017
Richard Dobson,Richard Dobson,75,12/16/2017
Kevin Mahogany,Kevin Mahogany,59,12/17/2017
Kim Jong-hyun,Shinee,27,12/18/2017
